split,topic,documents
train,87,70
train,88,70
train,89,69
train,90,69
train,91,68
train,92,68
train,93,68
train,94,67
train,95,67
train,96,66
train,97,66
train,98,66
train,99,66
train,100,66
train,101,65
train,102,64
train,103,63
train,104,60
train,105,60
train,106,60
train,107,59
train,108,59
train,109,59
train,110,59
train,111,58
train,112,57
train,113,56
train,114,56
train,115,56
train,116,55
train,117,55
train,118,55
train,119,54
train,120,54
train,121,54
train,122,54
train,123,54
train,124,53
train,125,53
train,126,52
train,127,51
train,128,51
train,129,51
train,130,51
train,131,50
train,132,50
train,133,50
train,134,49
train,135,49
train,136,49
train,137,48
train,138,48
train,139,48
train,140,48
train,141,47
train,142,47
train,143,47
train,144,46
train,145,46
train,146,46
train,147,45
train,148,45
train,149,45
train,150,45
train,151,44
train,152,44
train,153,44
train,154,43
train,155,43
train,156,43
train,157,43
train,158,43
train,159,43
train,160,42
train,161,42
train,162,42
train,163,42
train,164,42
train,165,41
train,166,41
train,167,41
train,168,41
train,169,41
train,170,40
train,171,40
train,172,40
train,173,39
train,174,39
train,175,39
train,176,39
train,177,39
train,178,38
train,179,38
train,180,38
train,181,37
train,182,37
train,183,37
train,184,37
train,185,37
train,186,37
train,187,36
train,188,36
train,189,36
train,190,36
train,191,36
train,192,36
train,193,36
train,194,35
train,195,35
train,196,35
train,197,34
train,198,34
train,199,34
train,200,34
train,201,34
train,202,34
train,203,34
train,204,34
train,205,33
train,206,33
train,207,33
train,208,33
train,209,33
train,210,33
train,211,33
train,212,32
train,213,32
train,214,32
train,215,32
train,216,31
train,217,31
train,218,31
train,219,31
train,220,31
train,221,31
train,222,31
train,223,31
train,224,30
train,225,30
train,226,30
train,227,30
train,228,30
train,229,30
train,230,30
train,231,30
train,232,30
train,233,30
train,234,30
train,235,30
train,236,29
train,237,29
train,238,29
train,239,29
train,240,29
train,241,29
train,242,29
train,243,29
train,244,29
train,245,29
train,246,29
train,247,28
train,248,28
train,249,28
train,250,28
train,251,28
train,252,28
train,253,28
train,254,28
train,255,28
train,256,28
train,257,28
train,258,28
train,259,28
train,260,28
train,261,28
train,262,28
train,263,28
train,264,28
train,265,28
train,266,27
train,267,27
train,268,27
train,269,27
train,270,27
train,271,27
train,272,27
train,273,27
train,274,27
train,275,27
train,276,27
train,277,26
train,278,26
train,279,26
train,280,26
train,281,26
train,282,26
train,283,26
train,284,26
train,285,26
train,286,26
train,287,26
train,288,26
train,289,26
train,290,26
train,291,26
train,292,26
train,293,25
train,294,25
train,295,25
train,296,25
train,297,25
train,298,25
train,299,25
train,300,25
train,301,25
train,302,25
train,303,25
train,304,25
train,305,25
train,306,25
train,307,25
train,308,25
train,309,24
train,310,24
train,311,24
train,312,24
train,313,24
train,314,24
train,315,24
train,316,24
train,317,24
train,318,24
train,319,24
train,320,24
train,321,24
train,322,24
train,323,24
train,324,23
train,325,23
train,326,23
train,327,23
train,328,23
train,329,23
train,330,23
train,331,23
train,332,23
train,333,23
train,334,23
train,335,23
train,336,23
train,337,23
train,338,23
train,339,22
train,340,22
train,341,22
train,342,22
train,343,22
train,344,22
train,345,22
train,346,22
train,347,22
train,348,22
train,349,22
train,350,22
train,351,22
train,352,22
train,353,22
train,354,22
train,355,21
train,356,21
train,357,21
train,358,21
train,359,21
train,360,21
train,361,21
train,362,21
train,363,21
train,364,21
train,365,21
train,366,21
train,367,21
train,368,20
train,369,20
train,370,20
train,371,20
train,372,20
train,373,20
train,374,20
train,375,20
train,376,20
train,377,20
train,378,20
train,379,20
train,380,20
train,381,20
train,382,20
train,383,19
train,384,19
train,385,19
train,386,19
train,387,19
train,388,19
train,389,19
train,390,19
train,391,19
train,392,19
train,393,19
train,394,19
train,395,19
train,396,19
train,397,19
train,398,19
train,399,19
train,400,19
train,401,19
train,402,19
train,403,19
train,404,19
train,405,19
train,406,19
train,407,19
train,408,19
train,409,19
train,410,18
train,411,18
train,412,18
train,413,18
train,414,18
train,415,18
train,416,18
train,417,18
train,418,18
train,419,18
train,420,18
train,421,18
train,422,18
train,423,18
train,424,18
train,425,18
train,426,18
train,427,18
train,428,18
train,429,18
train,430,18
train,431,18
train,432,18
train,433,18
train,434,18
train,435,18
train,436,18
train,437,18
train,438,18
train,439,18
train,440,18
train,441,17
train,442,17
train,443,17
train,444,17
train,445,17
train,446,17
train,447,17
train,448,17
train,449,17
train,450,17
train,451,17
train,452,17
train,453,17
train,454,17
train,455,17
train,456,17
train,457,17
train,458,17
train,459,17
train,460,17
train,461,17
train,462,17
train,463,17
train,464,17
train,465,16
train,466,16
train,467,16
train,468,16
train,469,16
train,470,16
train,471,16
train,472,16
train,473,16
train,474,16
train,475,16
train,476,16
train,477,16
train,478,16
train,479,16
train,480,16
train,481,16
train,482,16
train,483,16
train,484,16
train,485,16
train,486,16
train,487,16
train,488,16
train,489,15
train,490,15
train,491,15
train,492,15
train,493,15
train,494,15
train,495,15
train,496,15
train,497,15
train,498,15
train,499,15
train,500,15
train,501,15
train,502,15
train,503,15
train,504,15
train,505,15
train,506,15
train,507,15
train,508,15
train,509,15
train,510,15
train,511,15
train,512,15
train,513,15
train,514,15
train,515,15
train,516,15
train,517,15
train,518,15
train,519,15
train,520,15
train,521,15
train,522,15
train,523,15
train,524,15
train,525,15
train,526,14
train,527,14
train,528,14
train,529,14
train,530,14
train,531,14
train,532,14
train,533,14
train,534,14
train,535,14
train,536,14
train,537,14
train,538,14
train,539,14
train,540,14
train,541,14
train,542,14
train,543,14
train,544,14
train,545,14
train,546,14
train,547,14
train,548,14
train,549,14
train,550,13
train,551,13
train,552,13
train,553,13
train,554,13
train,555,13
train,556,13
train,557,13
train,558,13
train,559,13
train,560,13
train,561,13
train,562,13
train,563,13
train,564,13
train,565,13
train,566,13
train,567,13
train,568,13
train,569,13
train,570,13
train,571,13
train,572,13
train,573,13
train,574,13
train,575,13
train,576,13
train,577,13
train,578,13
train,579,13
train,580,13
train,581,13
train,582,13
train,583,13
train,584,12
train,585,12
train,586,12
train,587,12
train,588,12
train,589,12
train,590,12
train,591,12
train,592,12
train,593,12
train,594,12
train,595,12
train,596,12
train,597,12
train,598,12
train,599,12
train,600,12
train,601,12
train,602,12
train,603,12
train,604,12
train,605,12
train,606,12
train,607,12
train,608,12
train,609,12
train,610,12
train,611,12
train,612,12
train,613,12
train,614,12
train,615,12
train,616,11
train,617,11
train,618,11
train,619,11
train,620,11
train,621,11
train,622,11
train,623,11
train,624,11
train,625,11
train,626,11
train,627,11
train,628,11
train,629,11
train,630,11
train,631,11
train,632,11
train,633,11
train,634,11
train,635,11
train,636,11
train,637,11
train,638,11
train,639,11
train,640,11
train,641,11
train,642,11
train,643,11
train,644,10
train,645,10
train,646,10
train,647,10
train,648,10
train,649,10
train,650,10
train,651,10
train,652,10
train,653,10
train,654,10
train,655,10
train,656,10
train,657,10
validation,-1,5192
validation,2,241
validation,14,186
validation,27,108
validation,35,104
validation,156,101
validation,0,92
validation,66,74
validation,207,74
validation,10,71
validation,15,67
validation,25,61
validation,133,59
validation,1,55
validation,18,55
validation,7,51
validation,374,46
validation,56,44
validation,105,41
validation,251,40
validation,5,39
validation,16,36
validation,76,34
validation,87,34
validation,293,34
validation,47,33
validation,153,33
validation,96,32
validation,309,32
validation,120,30
validation,11,29
validation,23,29
validation,189,29
validation,21,28
validation,83,25
validation,228,25
validation,311,25
validation,49,23
validation,12,21
validation,31,21
validation,50,21
validation,113,21
validation,51,20
validation,405,20
validation,52,19
validation,58,19
validation,89,19
validation,155,19
validation,490,19
validation,594,19
validation,29,18
validation,53,18
validation,86,18
validation,34,17
validation,63,17
validation,231,17
validation,430,17
validation,6,16
validation,179,16
validation,194,16
validation,234,16
validation,592,16
validation,17,15
validation,33,15
validation,43,15
validation,62,15
validation,65,15
validation,78,15
validation,124,15
validation,363,15
validation,48,14
validation,67,14
validation,85,14
validation,115,14
validation,180,14
validation,214,14
validation,330,14
validation,404,14
validation,46,13
validation,59,13
validation,70,13
validation,80,13
validation,94,13
validation,123,13
validation,136,13
validation,137,13
validation,201,13
validation,259,13
validation,270,13
validation,275,13
validation,321,13
validation,408,13
validation,526,13
validation,32,12
validation,42,12
validation,255,12
validation,273,12
validation,282,12
validation,294,12
validation,331,12
validation,466,12
validation,3,11
validation,8,11
validation,22,11
validation,102,11
validation,127,11
validation,128,11
validation,151,11
validation,324,11
validation,451,11
validation,579,11
validation,648,11
validation,13,10
validation,328,10
validation,343,10
validation,350,10
validation,352,10
validation,69,9
validation,73,9
validation,77,9
validation,119,9
validation,129,9
validation,135,9
validation,150,9
validation,163,9
validation,223,9
validation,322,9
validation,342,9
validation,391,9
validation,425,9
validation,38,8
validation,88,8
validation,100,8
validation,110,8
validation,122,8
validation,131,8
validation,147,8
validation,159,8
validation,160,8
validation,211,8
validation,243,8
validation,252,8
validation,383,8
validation,402,8
validation,555,8
validation,618,8
validation,37,7
validation,40,7
validation,54,7
validation,81,7
validation,82,7
validation,97,7
validation,108,7
validation,111,7
validation,140,7
validation,158,7
validation,161,7
validation,173,7
validation,183,7
validation,193,7
validation,225,7
validation,236,7
validation,262,7
validation,299,7
validation,420,7
validation,497,7
validation,9,6
validation,107,6
validation,144,6
validation,184,6
validation,188,6
validation,208,6
validation,230,6
validation,238,6
validation,302,6
validation,310,6
validation,319,6
validation,339,6
validation,341,6
validation,390,6
validation,394,6
validation,417,6
validation,428,6
validation,458,6
validation,39,5
validation,64,5
validation,68,5
validation,71,5
validation,90,5
validation,92,5
validation,93,5
validation,104,5
validation,114,5
validation,130,5
validation,134,5
validation,148,5
validation,154,5
validation,176,5
validation,202,5
validation,241,5
validation,263,5
validation,264,5
validation,265,5
validation,334,5
validation,348,5
validation,367,5
validation,377,5
validation,399,5
validation,478,5
validation,480,5
validation,484,5
validation,485,5
validation,488,5
validation,502,5
validation,518,5
validation,19,4
validation,61,4
validation,75,4
validation,109,4
validation,121,4
validation,146,4
validation,195,4
validation,198,4
validation,203,4
validation,213,4
validation,221,4
validation,249,4
validation,254,4
validation,257,4
validation,266,4
validation,277,4
validation,283,4
validation,290,4
validation,301,4
validation,305,4
validation,315,4
validation,326,4
validation,329,4
validation,366,4
validation,441,4
validation,447,4
validation,461,4
validation,477,4
validation,527,4
validation,537,4
validation,552,4
validation,20,3
validation,41,3
validation,55,3
validation,57,3
validation,74,3
validation,84,3
validation,101,3
validation,132,3
validation,142,3
validation,143,3
validation,175,3
validation,200,3
validation,206,3
validation,210,3
validation,212,3
validation,217,3
validation,226,3
validation,227,3
validation,237,3
validation,244,3
validation,246,3
validation,247,3
validation,248,3
validation,267,3
validation,276,3
validation,291,3
validation,296,3
validation,300,3
validation,304,3
validation,314,3
validation,323,3
validation,325,3
validation,353,3
validation,370,3
validation,376,3
validation,379,3
validation,386,3
validation,392,3
validation,397,3
validation,411,3
validation,415,3
validation,426,3
validation,431,3
validation,435,3
validation,453,3
validation,454,3
validation,469,3
validation,483,3
validation,487,3
validation,514,3
validation,520,3
validation,541,3
validation,549,3
validation,571,3
validation,586,3
validation,591,3
validation,596,3
validation,598,3
validation,610,3
validation,621,3
validation,28,2
validation,45,2
validation,98,2
validation,99,2
validation,112,2
validation,117,2
validation,118,2
validation,126,2
validation,141,2
validation,152,2
validation,164,2
validation,165,2
validation,171,2
validation,172,2
validation,190,2
validation,192,2
validation,196,2
validation,197,2
validation,218,2
validation,220,2
validation,256,2
validation,258,2
validation,271,2
validation,280,2
validation,287,2
validation,289,2
validation,292,2
validation,344,2
validation,354,2
validation,356,2
validation,361,2
validation,365,2
validation,371,2
validation,372,2
validation,380,2
validation,387,2
validation,389,2
validation,393,2
validation,400,2
validation,401,2
validation,416,2
validation,421,2
validation,433,2
validation,436,2
validation,438,2
validation,446,2
validation,449,2
validation,456,2
validation,457,2
validation,482,2
validation,493,2
validation,504,2
validation,508,2
validation,509,2
validation,524,2
validation,534,2
validation,535,2
validation,539,2
validation,542,2
validation,545,2
validation,559,2
validation,564,2
validation,565,2
validation,567,2
validation,577,2
validation,589,2
validation,604,2
validation,606,2
validation,614,2
validation,617,2
validation,620,2
validation,636,2
validation,637,2
validation,645,2
validation,4,1
validation,26,1
validation,30,1
validation,36,1
validation,103,1
validation,149,1
validation,162,1
validation,166,1
validation,168,1
validation,177,1
validation,178,1
validation,181,1
validation,186,1
validation,187,1
validation,191,1
validation,216,1
validation,224,1
validation,233,1
validation,235,1
validation,239,1
validation,242,1
validation,253,1
validation,260,1
validation,261,1
validation,268,1
validation,269,1
validation,272,1
validation,278,1
validation,279,1
validation,281,1
validation,288,1
validation,295,1
validation,303,1
validation,316,1
validation,327,1
validation,336,1
validation,337,1
validation,345,1
validation,349,1
validation,351,1
validation,355,1
validation,359,1
validation,382,1
validation,395,1
validation,410,1
validation,413,1
validation,414,1
validation,429,1
validation,432,1
validation,443,1
validation,445,1
validation,452,1
validation,455,1
validation,459,1
validation,462,1
validation,465,1
validation,468,1
validation,470,1
validation,472,1
validation,473,1
validation,475,1
validation,476,1
validation,481,1
validation,486,1
validation,489,1
validation,491,1
validation,494,1
validation,501,1
validation,505,1
validation,510,1
validation,515,1
validation,522,1
validation,532,1
validation,533,1
validation,543,1
validation,546,1
validation,547,1
validation,548,1
validation,554,1
validation,557,1
validation,561,1
validation,566,1
validation,568,1
validation,569,1
validation,572,1
validation,580,1
validation,581,1
validation,585,1
validation,590,1
validation,599,1
validation,600,1
validation,601,1
validation,602,1
validation,605,1
validation,611,1
validation,615,1
validation,630,1
validation,634,1
validation,640,1
validation,641,1
validation,643,1
validation,644,1
validation,655,1
