Topic,Count,Name,Representation,Representative_Docs
-1,2654,-1_earnings_stock_bank_growth,"['earnings', 'stock', 'bank', 'growth', '2025', 'says', 'target', 'buy', 'street', 'wall']","['3 European Growth Stocks With High Insider Ownership And Up To 60% Earnings Growth', 'European Growth Stocks With High Insider Ownership For September 2025', 'European Growth Companies With High Insider Ownership In September 2025']"
0,587,0_shifting_story_story shifting_narrative,"['shifting', 'story', 'story shifting', 'narrative', 'investment story', 'targets', 'investment', 'analyst', 'shifting new', 'narrative shifting']","['How The Glencore ( __TICKER__ ) Investment Story Is Shifting With New Targets And Assumptions', 'How The __COMPANY__ __TICKER__ Investment Story Is Shifting As Analyst Views Rebalance', 'How The __COMPANY__ __TICKER__ Investment Story Is Shifting As Analyst Views Diverge']"
1,425,1_ai_software_shifting ai_tech,"['ai', 'software', 'shifting ai', 'tech', 'stocks', 'intelligence', 'says', 'digital', 'cloud', 'artificial']","['2 Artificial Intelligence (AI) Stocks That Could Help Make You a Fortune', 'How The Amazon.com (AMZN) Investment Story Is Shifting With AI, Cloud And Valuation Debates', 'Wall Street Says Forget AI Chips, and Buy AI Software Stocks Instead for 2026']"
2,339,2_earnings_q4_q3_q2,"['earnings', 'q4', 'q3', 'q2', 'q4 earnings', 'q3 earnings', 'estimates', 'q2 earnings', 'q1', 'nii']","['__TICKER__ : Q3 Earnings Snapshot', '__COMPANY__ : Q4 Earnings Snapshot', '__TICKER__ : Q4 Earnings Snapshot']"
3,294,3_oil_iran_oil prices_prices,"['oil', 'iran', 'oil prices', 'prices', 'war', 'iran war', 'hormuz', 'trump', 'supply', 'futures']","['Oil Prices Fall Below $100. India Asks Iran to Allow 23 Tankers Through Strait of Hormuz.', 'Dow Jones Futures, Oil Prices Loom After U.S.-Iran Talks End With No Deal', 'U.S.-Iran Talks End With No Deal; How Will Dow Jones Futures, Oil Prices React?']"
4,271,4_crypto_stablecoin_xrp_bitcoin,"['crypto', 'stablecoin', 'xrp', 'bitcoin', 'digital', 'tokenized', 'blockchain', 'stablecoins', 'banks', 'euro stablecoin']","['__TICKER__ CEO Details Crypto Plans Following Report of Bitcoin, Ethereum Trading for Wealthy Clients', 'Big European banks form company to launch euro stablecoin', '__COMPANY__ Reveals $2.3 Billion Crypto Investment, Including Bitcoin and XRP']"
5,220,5_etf_etfs_management_management announces,"['etf', 'etfs', 'management', 'management announces', 'asset management', 'asset', 'vanguard', 'announces', 'distributions', 'investing radar']","['__COMPANY__ Global Asset Management Inc. announces __COMPANY__ ETF cash distributions for February 2026', '__COMPANY__ Global Asset Management Inc. announces __COMPANY__ ETF cash distributions for January 2026', '__TICKER__ Asset Management Inc. Announces __TICKER__ ETF Distributions']"
6,204,6_stocks_stocks buy_best_buy,"['stocks', 'stocks buy', 'best', 'buy', 'bank stocks', 'value stocks', 'value', 'income stocks', 'growth stocks', 'best income']","['Best Growth Stocks to Buy for January 21st', 'Best Income Stocks to Buy for January 21st', 'Best Value Stocks to Buy for January 21st']"
7,186,7_valuation_recent_share price_assessing,"['valuation', 'recent', 'share price', 'assessing', 'recent share', 'share', 'look', 'valuation recent', 'bme', 'assessing valuation']","['Assessing Banco __COMPANY__ (BME: __TICKER__ ) Valuation After Recent Share Price Pullback', 'Assessing __COMPANY__ ( __TICKER__ ) Valuation After Recent Share Price Pullback', 'Assessing __COMPANY__ __TICKER__ Valuation After Recent Share Price Pullback']"
8,184,8_treasury_yields_fed_dollar,"['treasury', 'yields', 'fed', 'dollar', 'rate', 'bond', 'treasury yields', 'cut', 'bonds', 'rate cut']","['U.S. Treasury Yields Mixed as Data, Fed’s Miran Speech Awaited', 'Treasury Yields, Dollar Rise Ahead of Data Reports', ""U.S. Treasury Yields Fall After Fed's Beige Book Confirms Rate-Cut Expectations""]"
